Sample ID	Input Reads	Uniquely Mapped Reads
MO_1045-capt-SI_5431-C0VURACXX	137138319	68185886
MO_1059-capt-SI_5157-C0MHHACXX	95791838	72484240
MO_1089-capt-SI_5599-C147NACXX	63184427	50379782
MO_1089-capt-SI_5600-C147NACXX	65993928	56750897
MO_1089-capt-SI_5601-C147NACXX	85887510	70050005
MO_1089-capt-SI_5602-C147NACXX	80824857	65284070
MO_1172-capt-SI_6639-D21U5ACXX	72865750	62961489
MO_1466-capt-SI_10328-C6EHAANXX	64091861	52657236
MO_1478-capt-SI_10741-C6UUJANXX	58376259	39913102
MO_1486-capt-SI_10984-C6UWKANXX	68431874	46570933
MO_1494-capt-SI_11086-C6T5LANXX	61945565	46597180
MO_1529-capt-SI_11729-C7G60ANXX	71727060	62225075
TP_2047-capt-SI_10371-HGJM7ADXX	92292002	66086330
TP_2047-capt-SI_11310-C6V1BANXX	67969455	51041496
TP_2047-capt-SI_11311-C6V1BANXX	69148701	54960200
TP_2047-capt-SI_11312-C6V1BANXX	64104145	56302259
TP_2047-capt-SI_11313-C6V1BANXX	61329908	52248974
TP_2047-capt-SI_7358-H80YAADXX	66535750	52426867
TP_2047-capt-SI_8704-HA9L4ADXX	42192386	33344065
TP_2047-capt-SI_8704-HA9PMADXX	40000742	31606645
TP_2047-capt-SI_8705-HA9L4ADXX	37246697	31796818
TP_2047-capt-SI_8705-HA9PMADXX	37531350	32019539
TP_2086-capt-SI_10440-C6ERDANXX	73266420	55458904
TP_2106-capt-SI_11224-C6UTYANXX	70413919	49788842
MO_1296-capt-SI_7845-C3Y81ACXX	57880123	47970715
PO_3017-capt-SI_5909-D1DW2ACXX	76323012	71594153
MO_1547-capt-SI_12195-C7FVAANXX	51495743	32893335
MO_1064-capt-SI_5216-C0VTMACXX	99265802	75181300
MO_1360-capt-SI_8461-C4KRYACXX	66823973	53373096
MO_1408-capt-SI_9474-C5N19ANXX	73044047	53415448
MO_1484-capt-SI_10926-C6V1TANXX	68545103	58894396
TP_2098-capt-SI_10861-C6URJANXX	70084934	56544560
MO_1211-capt-SI_6982-C24VEACXX	63834470	54769384
MO_1491-capt-SI_11084-C6PF4ANXX	69526975	53820644
PO_3094-capt-SI_8891-C4739ANXX	60444521	47884168
MO_1046-capt-SI_5083-D0VDLACXX	92647625	66604377
MO_1072-capt-SI_5316-D12MJACXX	41325957	32218124
MO_1072-capt-SI_5317-C0W1LACXX	97805873	83958504
MO_1072-capt-SI_5318-C0W1LACXX	100925029	83215313
MO_1072-capt-SI_5609-C193LACXX	80084162	64884693
MO_1072-capt-SI_5610-C193LACXX	81337752	72223538
MO_1072-capt-SI_5611-C193LACXX	76447370	40682741
MO_1148-capt-SI_6354-C1MY8ACXX	61278552	49040442
MO_1328-capt-SI_8162-C4JLUACXX	60499715	49133080
TP_2018-capt-SI_5936-H09HYADXX	71796490	57310305
MO_1170-capt-SI_6653-H0V81ADXX	56795974	47213208
Human_Normal_Tissues-capt-SI_13211-C8LJ8ANXX	41664790	28675824
PS_1249-capt-SI_11051-C6UR3ANXX	42530615	36710138
PS_1249-capt-SI_11077-C6T5LANXX		
PS_1270-capt-SI_11052-C6UR3ANXX	39867998	31273926
PS_1270-capt-SI_11078-C6UR3ANXX		
PS_1291-capt-SI_11053-C6UR3ANXX	48344271	40268222
PS_1291-capt-SI_11079-C6UR3ANXX		
MO_1220-capt-SI_7074-C267GACXX	54119326	46562389
TP_2073-capt-SI_9869-C67VYANXX	62180109	43781987
22RV1-capt-SI_9938-C6EJFANXX	59551122	50856892
Du145-capt-SI_9934-C6EJFANXX	68790614	58293544
LNCaP-capt-SI_8103-H9BB0ADXX	47975909	36880928
MDA_PCa_2B-capt-SI_9935-C6EJFANXX	70478050	55999480
MO_1008-capt-SI_4519-D0EN5ACXX	99286728	74550532
MO_1008-capt-SI_5500-D12YGACXX	66529056	54169116
MO_1012-capt-SI_4882-C0EMJACXX	103641290	60846455
MO_1015-capt-SI_4733-D0H01ACXX	54634232	40114349
MO_1040-capt-SI_4971-C0L92ACXX	87418303	66014330
MO_1054-capt-SI_5094-D0VCEACXX	93780456	71754903
MO_1066-capt-SI_9604-C5MGWANXX	70502363	57224668
MO_1071-capt-SI_5277-C0VU9ACXX	96735631	85799204
MO_1074-capt-SI_5433-C0VYRACXX	110819626	89487051
MO_1084-capt-SI_5555-D131EACXX	75313086	61115816
MO_1093-capt-SI_5683-C19D0ACXX	66627961	52794549
MO_1094-capt-SI_5604-D133TACXX	59697790	50281281
MO_1095-capt-SI_5684-C19D0ACXX	51558531	42190695
MO_1096-capt-SI_5685-C19D0ACXX	65794188	49296721
MO_1112-capt-SI_6071-D1EC1ACXX	59110634	52269663
MO_1114-capt-SI_6072-D1EBFACXX	70540196	56667693
MO_1118-capt-SI_6074-D1EC1ACXX	62077601	48794204
MO_1124-capt-SI_6218-C1MR4ACXX	62498875	46289022
MO_1130-capt-SI_6223-D1RWDACXX	89071125	51951498
MO_1132-capt-SI_6342-D1R6AACXX	74833596	50845370
MO_1161-capt-SI_6566-D1RV8ACXX	61678612	47528686
MO_1162-capt-SI_6567-D1RV8ACXX	83447148	65859775
MO_1176-capt-SI_6698-C33JEACXX	29883048	22393819
MO_1176-capt-SI_6698-H15U7ADXX	40692914	30245710
MO_1179-capt-SI_6701-H15U7ADXX	45319650	33684529
MO_1184-capt-SI_6706-H77P2ADXX	43835260	35476755
MO_1192-capt-SI_10149-C6EHCANXX	67125906	56507040
MO_1192-capt-SI_6860-H77PFADXX	42038509	32896441
MO_1200-capt-SI_6936-C2560ACXX	48201927	38356421
MO_1200-capt-SI_6936-H77UCADXX	41302909	32509789
MO_1201-capt-SI_6937-D27KTACXX	64573400	50766463
MO_1202-capt-SI_7596-D2GFBACXX	66690987	55420608
MO_1202-capt-SI_8135-C4E6CACXX	63534999	48999548
MO_1215-capt-SI_7018-C26CMACXX	50277867	40392910
MO_1219-capt-SI_7073-C267GACXX	46003592	33440718
MO_1221-capt-SI_7075-C267GACXX	44733586	36862472
MO_1232-capt-SI_7134-C25UAACXX	49279541	38217735
MO_1240-capt-SI_7210-C245WACXX	65314138	45991421
MO_1240-capt-SI_7211-C245WACXX	74182617	34872499
MO_1241-capt-SI_7212-C245WACXX	50112628	37837374
MO_1244-capt-SI_7263-C25YAACXX	66805500	52832085
MO_1249-capt-SI_7267-D2GEDACXX	64086703	48267330
MO_1260-capt-SI_7403-D2GA6ACXX	57956333	48429069
MO_1262-capt-SI_7404-C2GDFACXX	62492158	50494031
MO_1263-capt-SI_7405-D2GA6ACXX	69585210	56270082
MO_1277-capt-SI_7602-C2G5LACXX	65713039	53756900
MO_1316-capt-SI_7993-C475EANXX	68217067	56660349
MO_1316-capt-SI_7993-C4CW0ACXX	114982323	94636424
MO_1336-capt-SI_8246-C471RANXX	53626008	42632323
MO_1337-capt-SI_8318-C46WVANXX	56351772	47092187
MO_1339-capt-SI_8320-C46WVANXX	49586311	42374865
MO_1410-capt-SI_9124-C4NPJANXX	54679480	42374803
MO_1420-capt-SI_9314-C5N2AANXX	65496962	48890888
MO_1421-capt-SI_9315-C5N2AANXX	77573705	61402434
MO_1437-capt-SI_9691-C5N0MANXX	70372807	60269927
MO_1443-capt-SI_9798-C5N31ANXX	55788253	37535825
MO_1446-capt-SI_9867-C67VYANXX	71315253	54800322
MO_1447-capt-SI_9808-C5N31ANXX	64752468	48376085
MO_1460-capt-SI_9992-C6EL5ANXX	66411800	47590032
MO_1469-capt-SI_10331-C6EHAANXX	61377194	56586977
MO_1472-capt-SI_10560-C6EEUANXX	56235904	33526978
MO_1472-capt-SI_10663-C6UPRANXX	64440420	45093807
MO_1473-capt-SI_10611-C6JKTANXX	72957053	44082616
MO_1482-capt-SI_11775-C7G8TANXX	71620306	58539824
MO_1490-capt-SI_11088-C6PF4ANXX	65491955	50339847
MO_1492-capt-SI_11085-HKM5WADXX	65145521	54365847
MO_1496-capt-SI_11307-C6V1BANXX	74132721	52304873
MO_1499-capt-SI_11315-C6V1BANXX	74134362	56062877
MO_1510-capt-SI_11368-C6UVMANXX	56928066	40866798
MO_1511-capt-SI_11382-C6UVMANXX	60636368	46097902
MO_1514-capt-SI_11384-C6UVMANXX	63606413	55737377
MO_1517-capt-SI_11440-C6UVMANXX	63185071	50724855
MO_1541-capt-SI_12052-H53C5ADXX	58892407	38671052
MO_1543-capt-SI_12054-C7FVAANXX	50750127	34750544
MO_1553-capt-SI_12340-C7FN8ANXX	54177123	34162446
MO_1556-capt-SI_12473-C7G91ANXX	51219164	32456013
PC3-capt-SI_9932-C6EJFANXX	68965179	58974618
PNT2-capt-SI_9937-C6EJFANXX	50581554	42710325
PrEC-capt-SI_9936-C6EJFANXX	64353360	51431955
RWPE-capt-SI_9931-C6EJFANXX	69752341	55828246
SC_9001-capt-SI_5605-D133TACXX	69452447	52785354
SC_9001-capt-SI_5606-D133TACXX	74091231	60601373
SC_9007-capt-SI_5941-D1E1PACXX	66778398	54330972
SC_9008-capt-SI_5848-C19KAACXX	66466008	54888317
SC_9009-capt-SI_5849-C19KAACXX	75662555	61757195
SC_9010-capt-SI_5850-C19KAACXX	70362861	55954467
SC_9012-capt-SI_6026-D1E7VACXX	65519368	50771251
SC_9016-capt-SI_6293-D1RTCACXX	48237037	38179603
SC_9016-capt-SI_7604-C2G40ACXX	53591885	44791413
SC_9017-capt-SI_6294-D1RTCACXX	49697438	40247382
SC_9018-capt-SI_6644-H0V4WADXX	42318652	37495824
SC_9019-capt-SI_6295-D1RTCACXX	43549102	32749990
SC_9022-capt-SI_6299-C1MM1ACXX	70790715	54963577
SC_9023-capt-SI_6300-D1RTCACXX	48043419	37505045
SC_9026-capt-SI_6347-C1MM1ACXX	67244229	55011793
SC_9027-capt-SI_10922-C6V1TANXX	60259573	41960701
SC_9027-capt-SI_6348-C1MY8ACXX	67206342	50918158
SC_9028-capt-SI_6349-C1MM1ACXX	72557684	56866262
SC_9029-capt-SI_6350-C1N0NACXX	62075224	47939463
SC_9030-capt-SI_6475-D1RHTACXX	64882955	51077997
SC_9031-capt-SI_8195-H9TBGADXX	59810891	46322741
SC_9032-capt-SI_6575-H0UUEADXX	34488825	29044267
SC_9034-capt-SI_6577-D1R62ACXX	66257024	53088920
SC_9035-capt-SI_6645-H0V81ADXX	64324574	58240263
SC_9035-capt-SI_8764-C4733ANXX	59265179	49791023
SC_9036-capt-SI_6578-D1R62ACXX	61237755	47289786
SC_9037-capt-SI_6579-D1R62ACXX	71022950	57587240
SC_9043-capt-SI_6648-D27KPACXX	62829771	50023763
SC_9046-capt-SI_6800-C25UFACXX	50657313	41284556
SC_9047-capt-SI_6801-C25UFACXX	56232106	42860606
SC_9048-capt-SI_6802-C25UFACXX	50408273	40328025
SC_9049-capt-SI_6803-C25UFACXX	44465442	35699122
SC_9050-capt-SI_6865-C25UFACXX	64580119	52838238
SC_9054-capt-SI_6866-D27KTACXX	65715831	54194424
SC_9055-capt-SI_6985-D26P3ACXX	44236250	39806792
SC_9056-capt-SI_10156-C6EJ9ANXX	63632845	45704666
SC_9056-capt-SI_6986-D26P3ACXX	47421911	37148174
SC_9057-capt-SI_7136-C25UAACXX	47681007	37922819
SC_9058-capt-SI_7137-D27KNACXX	51660404	40219114
SC_9059-capt-SI_7138-D27KNACXX	50833028	38563110
SC_9060-capt-SI_7139-D27KNACXX	56210201	43750099
SC_9061-capt-SI_7448-C2G6HACXX	70205960	51224718
SC_9062-capt-SI_7449-C2G6HACXX	70782222	57623998
SC_9063-capt-SI_7450-C2G6HACXX	52492170	37842237
SC_9065-capt-SI_7606-D2GEVACXX	64422012	51152897
SC_9065-capt-SI_8164-H9TF9ADXX	58888264	49116460
SC_9068-capt-SI_7608-D2GEVACXX	65548912	50374431
SC_9071-capt-SI_7690-D2GC3ACXX	58967727	46178904
SC_9072-capt-SI_7691-D2GC3ACXX	62615710	45070657
SC_9073-capt-SI_7781-C4CF9ACXX	55820413	45952680
SC_9080-capt-SI_8132-C4J3TACXX	58904718	45823414
SC_9081-capt-SI_10923-C6V1TANXX	69851897	50851002
SC_9081-capt-SI_8133-C4J3TACXX	64075562	54280859
SC_9081-capt-SI_9385-C5N1GANXX	56015350	47403827
SC_9083-capt-SI_8165-H9TF9ADXX	55253705	43180606
SC_9086-capt-SI_10442-C6ET2ANXX	60726940	46480515
SC_9086-capt-SI_8325-C472NANXX	48851242	39994133
SC_9091-capt-SI_8391-C46LAANXX	62240698	45952272
SC_9092-capt-SI_8557-C59M2ACXX	62483203	49422212
SC_9093-capt-SI_8558-C59M0ACXX	69208381	56896661
SC_9094-capt-SI_8701-C5AD4ACXX	67945918	50776395
SC_9097-capt-SI_8559-C59M2ACXX	63337136	51364381
SC_9099-capt-SI_8702-C5AD4ACXX	68634666	52760821
TP_2001-capt-SI_5688-C19FAACXX	71564753	57716313
TP_2009-capt-SI_5939-D1E1PACXX	71645321	57072939
TP_2010-capt-SI_5900-C19L8ACXX	65449150	50105653
TP_2020-capt-SI_6344-C1MM1ACXX	63978100	49759478
TP_2032-capt-SI_6351-C1MM1ACXX	64054499	52396874
TP_2034-capt-SI_6572-D1PYGACXX	51154226	41543617
TP_2034-capt-SI_6573-D1PYGACXX	52240518	40657323
TP_2034-capt-SI_6574-D1PYGACXX	103744871	88425101
TP_2034-capt-SI_6574-D21U5ACXX	22595128	17563302
TP_2034-capt-SI_7752-C32VAACXX	59650213	43013690
TP_2037-capt-SI_6791-H77P6ADXX	47164474	36559070
TP_2054-capt-SI_7848-C3Y81ACXX	72532198	60291664
TP_2060-capt-SI_8398-C4L1DACXX	58546355	49510773
TP_2061-capt-SI_8399-H9TEBADXX	72459487	52510133
TP_2064-capt-SI_8556-C59M0ACXX	67563765	56542219
TP_2069-capt-SI_9383-C5N1GANXX	59059586	47557041
TP_2077-capt-SI_10153-C6EHCANXX	64235821	47683963
TP_2078-capt-SI_10154-C6EHCANXX	72504949	51886831
TP_2079-capt-SI_10284-C6EKHANXX	67601786	54890176
TP_2080-capt-SI_10285-C6EKHANXX	65450505	55250402
TP_2081-capt-SI_10417-C6ET2ANXX	74284933	50287968
TP_2090-capt-SI_10666-C6UPRANXX	66786595	42698644
TP_2093-capt-SI_10699-C6V2AANXX	65978329	47042400
TP_2096-capt-SI_10732-C6UUJANXX	68027818	50201785
TP_2156-capt-SI_12477-C7G91ANXX	52008436	35227602
UT_4001-capt-SI_8722-C46NFANXX	60269014	47265357
UT_4001-capt-SI_8723-C46NFANXX	61776632	48745630
UT_4002-capt-SI_8724-C46NFANXX	63813889	51498057
UT_4002-capt-SI_8725-C46NFANXX	67021894	50655665
UT_4003-capt-SI_8726-C46NFANXX	60548849	49223748
UT_4003-capt-SI_8727-C46NFANXX	71520056	54416156
UT_4004-capt-SI_8728-C46NFANXX	66385684	52802884
UT_4004-capt-SI_8729-C46NFANXX	77767555	60989822
UT_4005-capt-SI_8730-C46NFANXX	61272712	52494932
UT_4005-capt-SI_8731-C46NFANXX	63352453	50035541
UT_4006-capt-SI_8732-C4018ANXX	111155855	97941209
UT_4006-capt-SI_8733-C4018ANXX	56400295	45020286
UT_4006-capt-SI_8734-C46NFANXX	63711709	50546054
UT_4007-capt-SI_8735-C46NFANXX	61777426	51056609
UT_4007-capt-SI_8736-C46NFANXX	67584510	56015872
UT_4007-capt-SI_8737-C46NFANXX	50712949	40055503
UT_4008-capt-SI_10105-C6EHBANXX	47191837	34194993
UT_4009-capt-SI_10106-C6EJFANXX	77789814	56962703
UT_4010-capt-SI_10107-C6EHBANXX	65950156	51645128
UT_4011-capt-SI_10108-C6EHBANXX	73689045	61158250
UT_4012-capt-SI_11260-C6UPNANXX	66185099	50808555
UT_4013-capt-SI_11261-C6UPNANXX	60207904	45125294
UT_4014-capt-SI_11262-C6UPNANXX	70641193	54989242
UT_4015-capt-SI_11263-C6UR3ANXX	65568447	48708198
UT_4015-capt-SI_11264-C6UR3ANXX	62168594	44877917
UT_4015-capt-SI_11265-C6UR3ANXX	72117446	55066337
UT_4016-capt-SI_11266-C6UR3ANXX	74350292	55349159
UT_4017-capt-SI_11314-C6UY8ANXX	62969057	48093796
UT_4018-capt-SI_11421-C6UY8ANXX	78720258	69464918
UT_4019-capt-SI_11386-C6UY8ANXX	57003199	44929225
UT_4020-capt-SI_11443-HVGH7ADXX	57513353	44791984
UT_4021-capt-SI_11516-C7A7HANXX	61514599	46803059
UT_4022-capt-SI_11545-C7G8EANXX	105650728	81316717
UT_4023-capt-SI_11623-C7G8PANXX	59317915	45603089
UT_4024-capt-SI_11624-C7G8PANXX	75517203	57655546
UT_4025-capt-SI_11733-C7G60ANXX	67599034	50884316
UT_4026-capt-SI_11734-HV7YKADXX	62112526	44922751
UT_4027-capt-SI_11777-C7G8TANXX	67077811	53612676
UT_4028-capt-SI_11778-C7G09ANXX	50108274	34197906
UT_4028-capt-SI_11779-C7G09ANXX	54783640	38080505
UT_4028-capt-SI_12623-C8H3PANXX	55672433	33142189
UT_4029-capt-SI_11780-HVKM7ADXX	50478595	37537723
UT_4029-capt-SI_12624-C8H3PANXX	51867891	33634885
UT_4030-capt-SI_11823-C7G5HANXX	71582435	52084686
UT_4030-capt-SI_12625-C8H3PANXX	56451242	33422431
UT_4031-capt-SI_11824-C7G5HANXX	66386335	55033887
UT_4031-capt-SI_12626-C8H3PANXX	53040784	32728169
UT_4032-capt-SI_11825-C7F5KANXX	55021655	40863711
UT_4032-capt-SI_12627-C8H3PANXX	56203197	36026301
UT_4033-capt-SI_11900-C7F4VANXX	44776866	32832084
UT_4034-capt-SI_11901-C7FMDANXX	54124926	39924555
UT_4034-capt-SI_11902-C7FMDANXX	56427214	40819060
UT_4035-capt-SI_11903-C7FMDANXX	52498823	39586335
VCaP-capt-SI_8045-C4D5HACXX	31074274	26691000
VCaP-capt-SI_8046-C4D5HACXX	31902001	27030552
VCaP-capt-SI_8047-C4D5HACXX	34063068	29316572
VCaP-capt-SI_8048-C4D5HACXX	29954996	25711007
VCaP-capt-SI_8049-C4D5HACXX	33374765	28555628
VCaP-capt-SI_8050-C4D5HACXX	36614436	31433810
VCaP-capt-SI_8051-C4D5HACXX	33147765	28443197
VCaP-capt-SI_8052-C4D5HACXX	34696523	29992556
VCaP-capt-SI_8053-C4D5HACXX	36728728	29064012
VCaP-capt-SI_8054-C4D5HACXX	38331809	32765683
VCaP-capt-SI_8055-C4D5HACXX	27987846	23048641
VCaP-capt-SI_8056-C4D5HACXX	33387954	29137500
VCaP-capt-SI_8057-C4D5HACXX	37567846	31342865
VCaP-capt-SI_8058-C4D5HACXX	39771650	33690999
VCaP-capt-SI_8059-C4D5HACXX	37364797	31292088
VCaP-capt-SI_8060-C4D5HACXX	37865648	30981671
VCaP-capt-SI_8061-C4D5HACXX	33989389	26535588
VCaP-capt-SI_8062-C4D5HACXX	36722138	29959757
VCaP-capt-SI_8063-C4D5HACXX	36589216	28687751
VCaP-capt-SI_8064-C4D5HACXX	39684481	30358054
VCaP-capt-SI_9933-C6EJFANXX	72698364	59374152
MO_1149-capt-SI_6357-C1MY8ACXX	66606905	55655069
MO_1011-capt-SI_4568-D0GPLACXX	59625334	44339296
MO_1394-capt-SI_8846-C4730ANXX	62605217	50681035
MO_1043-capt-SI_5055-D0UTEACXX	117883170	87607503
MO_1532-capt-SI_11826-C7F4VANXX	51480339	33119443
MO_1055-capt-SI_5155-C0MHHACXX	119502376	82505077
PO_3075-capt-SI_8000-C4CUUACXX	67231477	40006175
PO_3080-capt-SI_8163-C4K88ACXX	55940576	45123248
TP_2013-capt-SI_5934-D1E4KACXX	118458877	99187575
TP_2050-capt-SI_11267-C6UPNANXX	68070928	47856372
TP_2050-capt-SI_7631-C2G40ACXX	65398878	61966801
TP_2050-capt-SI_7739-C32VAACXX	54898551	41245142
MO_1058-capt-SI_5214-C0VTMACXX	100773918	75802977
MO_1106-capt-SI_5840-C19GBACXX	70624284	58640328
MO_1109-capt-SI_5896-C19M0ACXX	69741295	56566856
MO_1131-capt-SI_6227-D1RWDACXX	72360405	55005176
MO_1160-capt-SI_6478-C1M1KACXX	77278378	63960433
MO_1357-capt-SI_8458-C4L7VACXX	60299683	47205196
MO_1366-capt-SI_8601-HAA8NADXX	43592957	33319316
MO_1374-capt-SI_8694-C46V9ANXX	44800506	34241088
MO_1374-capt-SI_8694-HA8TLADXX	35675069	26409589
MO_1412-capt-SI_9225-C4R00ANXX	67408200	49748322
PO_3021-capt-SI_6224-C1MR4ACXX	66525562	57940731
TP_2019-capt-SI_5937-D1E2BACXX	93852337	75770375
TP_2027-capt-SI_6083-D1EBTACXX	63401949	50283520
MO_1070-capt-SI_5315-C0VU9ACXX	101310008	82984884
MO_1228-capt-SI_7131-C25YLACXX	45750654	35226820
MO_1183-capt-SI_6705-H77P1ADXX	49347329	36571191
MO_1076-capt-SI_5501-D130HACXX	63407637	47215857
MO_1390-capt-SI_8947-C46BDANXX	64071981	50725741
TP_2055-capt-SI_7922-C4CADACXX	64161020	54467333
MO_1085-capt-SI_5556-D131EACXX	67372776	55737840
Human_Normal_Tissues-capt-SI_13209-C8LJ8ANXX	38301203	32392354
TP_2072-capt-SI_9129-C4NPJANXX	65395646	58765384
Human_Normal_Tissues-capt-SI_13205-C8LJ8ANXX	39418796	25657511
Human_Normal_Tissues-capt-SI_13212-C8LJ8ANXX	42194132	27285235
Human_Normal_Tissues-capt-SI_13208-C8LJ8ANXX	41959390	28837667
MO_1035-capt-SI_5160-C0MHHACXX	114017050	84292309
MO_1035-capt-SI_5162-C0MHHACXX	88843652	72774716
MO_1035-capt-SI_5435-C0VURACXX	102909617	95049502
MO_1035-capt-SI_5436-C0VURACXX	100119798	90342274
MO_1196-capt-SI_6905-H77PPADXX	43966431	35253552
MO_1231-capt-SI_7189-D27AFACXX	72871182	58322574
MO_1297-capt-SI_7846-C3Y81ACXX	67608957	54254933
MO_1340-capt-SI_8247-C471RANXX	51543905	45049979
MO_1340-capt-SI_8633-C5A4VACXX	71417273	59994501
MO_1385-capt-SI_8762-C4733ANXX	70476601	52894996
MO_1171-capt-SI_6642-D21U5ACXX	61897626	55161774
MO_1306-capt-SI_7920-C4CRJACXX	65259132	52330235
MO_1333-capt-SI_8244-C471RANXX	54450321	44359813
MO_1371-capt-SI_8636-HAA97ADXX	62053059	46836443
MO_1487-capt-SI_11008-C6T3EANXX	61101353	44179307
PO_3011-capt-SI_5558-D131LACXX	61408640	50181330
Human_Normal_Tissues-capt-SI_13216-C8LJ8ANXX	40705625	26010100
MO_1023-capt-SI_4824-D0L3RACXX	89992313	27161708
MO_1023-capt-SI_4973-D0VCEACXX	86919993	74508271
MO_1180-capt-SI_6702-D2GC3ACXX	20033471	16867309
MO_1180-capt-SI_6702-H0UUFADXX	43743139	36705746
MO_1208-capt-SI_6970-C26D0ACXX	70866789	58082497
MO_1222-capt-SI_7124-C25YLACXX	55239889	38708397
MO_1229-capt-SI_7132-C25UAACXX	45673682	35488407
MO_1252-capt-SI_7355-C2G13ACXX	54812082	42890610
MO_1370-capt-SI_8635-HAAAEADXX	56037056	46565156
MO_1381-capt-SI_8697-C46V9ANXX	68106742	53121699
MO_1391-capt-SI_8843-C4730ANXX	60375495	46794148
MO_1438-capt-SI_9866-C67VYANXX	76520135	53359780
MO_1483-capt-SI_10858-C6URJANXX	61882273	43592879
TP_2023-capt-SI_6021-D1EBEACXX	65750007	45938750
TP_2102-capt-SI_11150-C6T5LANXX	38388643	27164548
TP_2102-capt-SI_11150-C6UTYANXX	58118079	40944856
Human_Normal_Tissues-capt-SI_13206-C8LJ8ANXX	39304878	27157605
MO_1061-capt-SI_5159-C0MHHACXX	95314795	74727100
MO_1102-capt-SI_5833-C19FGACXX	70161320	56254694
MO_1052-capt-SI_5163-C0MHHACXX	77277272	51102194
MO_1052-capt-SI_5382-D12U3ACXX	80701118	17566626
MO_1077-capt-SI_5502-D130HACXX	66234849	56324601
MO_1080-capt-SI_5560-D131EACXX	57592119	50074370
MO_1396-capt-SI_8885-C4739ANXX	57114712	43421620
MO_1396-capt-SI_8977-C472MANXX	66900422	39980906
MO_1423-capt-SI_9380-C5N1GANXX	69597963	47963960
MO_1331-capt-SI_8243-C471RANXX	55484872	45705990
MO_1343-capt-SI_8462-C4L7VACXX	61702138	47219047
MO_1345-capt-SI_8323-C46WVANXX	49498016	40362385
MO_1367-capt-SI_8602-HAABLADXX	56559375	47735866
MO_1373-capt-SI_8654-C59PDACXX	61584423	31853730
TP_2101-capt-SI_11012-C6T3EANXX	69851252	56394352
MO_1309-capt-SI_7949-C4DCWACXX	61827432	48690174
MO_1075-capt-SI_5932-D1E4FACXX	73665360	48271276
MO_1086-capt-SI_5557-D131EACXX	62578345	47713870
MO_1092-capt-SI_5603-D18NCACXX	60338111	47048536
MO_1133-capt-SI_6228-D1RWDACXX	60069940	40835534
MO_1140-capt-SI_6289-D1RTCACXX	42196014	33295089
MO_1141-capt-SI_6290-D1RTCACXX	47498009	38298268
MO_1146-capt-SI_6476-C1M1KACXX	60849094	47815273
MO_1147-capt-SI_6346-C1MY8ACXX	80695465	60708564
MO_1168-capt-SI_6557-D1RV8ACXX	73689804	61477758
MO_1175-capt-SI_6640-H0V86ADXX	42415609	37846463
MO_1182-capt-SI_6704-H77P2ADXX	44218716	34521284
MO_1197-capt-SI_6906-C2560ACXX	40526895	32247026
MO_1197-capt-SI_6906-H77T7ADXX	40558290	31402002
MO_1203-capt-SI_6938-D27KTACXX	66909881	53877095
MO_1217-capt-SI_7072-C267GACXX	89474941	75416102
MO_1223-capt-SI_7125-C25YLACXX	43968644	35704893
MO_1274-capt-SI_7600-D2GFBACXX	60779866	49253362
MO_1278-capt-SI_7603-C2G5LACXX	59390751	46592308
MO_1284-capt-SI_7658-D2GGHACXX	69181891	54433491
MO_1285-capt-SI_7659-D2GGHACXX	64508797	49751428
MO_1295-capt-SI_7874-C4CRLACXX	68454199	56535688
MO_1319-capt-SI_8079-C4CUUACXX	64659472	54283810
MO_1342-capt-SI_8385-C46LAANXX	58477872	43132377
MO_1363-capt-SI_8555-C59M2ACXX	40537192	32243798
MO_1369-capt-SI_8634-HAABFADXX	59799088	43759118
MO_1372-capt-SI_8637-HAABKADXX	53580211	41552196
MO_1379-capt-SI_8695-C46V9ANXX	75370031	57476539
MO_1383-capt-SI_8699-C5AD4ACXX	69370813	55008173
MO_1407-capt-SI_9049-C472BANXX	72207398	52552684
MO_1419-capt-SI_9280-C5MMMANXX	66969227	50473178
MO_1428-capt-SI_9605-C5MGWANXX	65723343	54069486
MO_1458-capt-SI_9990-C6EL5ANXX	57990396	40667872
MO_1481-capt-SI_10785-C6UV0ANXX	61522122	46485084
MO_1485-capt-SI_10921-C6V1TANXX	64956785	44548622
MO_1502-capt-SI_11309-C6UY8ANXX	75795131	63558708
MO_1507-capt-SI_11424-C6UY8ANXX	74752454	52831632
MO_1518-capt-SI_11513-C7A2UANXX	70829594	51750671
MO_1542-capt-SI_12053-H53CHADXX	58517314	37256474
MO_1563-capt-SI_12574-H3ML5ADXX	86207945	62998173
TP_2002-capt-SI_12034-H535MADXX	52315382	46904049
TP_2002-capt-SI_6135-D1RGBACXX	62671388	53694008
TP_2014-capt-SI_5940-D1E2BACXX	72265360	57551578
TP_2042-capt-SI_7076-C2560ACXX	49432316	41409641
TP_2042-capt-SI_7076-C262MACXX	37631212	30902788
TP_2059-capt-SI_8390-C46LAANXX	62090254	48198439
TP_2130-capt-SI_11905-C7FMDANXX	60413113	40594374
MO_1204-capt-SI_6939-D27KTACXX	66588925	54791893
TP_2021-capt-SI_6020-D1EBEACXX	70497669	58006153
MO_1224-capt-SI_7126-C25YLACXX	43566698	34542441
Human_Normal_Tissues-capt-SI_13217-C8LJ8ANXX	42299840	25810090
